pso_particles,pso_max_iter,pso_w,pso_w_end,pso_c1,pso_c2,charger_count,weight_load,weight_sensitivity,best_fitness,mean_fitness,std_fitness,mean_load_coverage,mean_avg_sensitivity,mean_runtime,best_selected_nodes
100,200,0.7,0.3,1.5,1.5,10,0.6,0.4,0.41954152487261503,0.41787248686710327,0.002169434139893527,0.5631224764468372,0.19999750249750253,89.42239332199097,"[19, 25, 32, 2, 7, 8, 24, 31, 30, 4]"
80,200,0.6,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41672488704655597,0.0027143355131144264,0.5534320323014805,0.21166416916416914,109.06964917182923,"[8, 3, 25, 19, 24, 30, 32, 2, 7, 4]"
80,200,0.7,0.2,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.41666297587562723,0.00413758539429948,0.5566621803499328,0.20666416916416913,107.6018440246582,"[25, 19, 7, 4, 30, 24, 32, 2, 8, 3]"
100,200,0.7,0.3,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.41643202029016296,0.004274439167614078,0.5582772543741588,0.20366416916416913,80.15979013442993,"[32, 3, 25, 24, 30, 7, 19, 4, 2, 8]"
80,200,0.8,0.2,2.0,2.0,10,0.6,0.4,0.4198510807272584,0.4162653600325202,0.0029520531927382525,0.5550471063257066,0.20809274059274058,117.3557002067566,"[24, 7, 32, 2, 19, 30, 25, 8, 4, 3]"
50,200,0.7,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41615345847512736,0.0019681822785206876,0.5534320323014805,0.21023559773559772,68.9876558303833,"[2, 25, 32, 24, 7, 30, 19, 8, 3, 4]"
100,200,0.6,0.2,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.4160677313713653,0.005721266039838962,0.559892328398385,0.20033083583083583,138.80656719207764,"[8, 25, 24, 30, 2, 19, 32, 7, 4, 3]"
100,200,0.8,0.3,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.4159629822846512,0.003308106145663561,0.5534320323014805,0.20975940725940725,82.03230619430542,"[8, 24, 25, 30, 2, 19, 32, 4, 3, 7]"
80,200,0.8,0.2,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.4156201251417941,0.002436633799257923,0.5534320323014805,0.2089022644022644,110.15499024391174,"[30, 4, 25, 7, 24, 2, 19, 32, 8, 3]"
80,200,0.6,0.3,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.41553678219492485,0.0023691702037865604,0.5582772543741588,0.20142607392607395,110.81284527778625,"[25, 8, 3, 19, 32, 2, 7, 30, 24, 4]"
50,200,0.8,0.2,1.5,1.5,10,0.6,0.4,0.41954152487261503,0.41549868695682957,0.002359380218150756,0.5582772543741588,0.20133083583083583,70.66008443832398,"[7, 8, 25, 31, 24, 19, 2, 32, 4, 30]"
80,200,0.6,0.2,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.4152963156179846,0.003462691677689669,0.5534320323014805,0.20809274059274058,131.2365267276764,"[24, 4, 30, 2, 8, 7, 25, 19, 32, 3]"
100,200,0.6,0.3,2.0,2.0,10,0.6,0.4,0.4198510807272584,0.41521138323318674,0.007431590023821927,0.5593539703903095,0.1989975024975025,135.25005612373351,"[24, 25, 19, 32, 2, 30, 7, 4, 8, 3]"
100,200,0.8,0.3,2.0,1.5,10,0.6,0.4,0.41651774739392505,0.415027264794425,0.0028287290818792355,0.5550471063257068,0.2049975024975025,84.2729151725769,"[30, 4, 25, 20, 24, 19, 8, 2, 7, 32]"
100,200,0.8,0.2,1.5,1.5,10,0.6,0.4,0.4198510807272584,0.41499393787011557,0.004007710035624091,0.5518169582772543,0.20975940725940725,106.9327094078064,"[32, 19, 30, 7, 8, 3, 25, 24, 2, 4]"
100,200,0.6,0.3,1.5,2.0,10,0.6,0.4,0.4198510807272584,0.4144963156179845,0.004087814639574817,0.5534320323014805,0.20609274059274058,98.06212778091431,"[19, 3, 30, 25, 2, 7, 8, 24, 32, 4]"
100,200,0.7,0.3,2.0,1.5,10,0.6,0.4,0.4198510807272584,0.4144939314610916,0.0032739583204934347,0.5550471063257066,0.20366416916416918,131.85718717575074,"[30, 8, 2, 32, 25, 24, 19, 7, 4, 3]"
80,200,0.7,0.3,1.5,1.5,10,0.6,0.4,0.4162081915392817,0.4144105885142224,0.0009842483389728195,0.559892328398385,0.1961879786879787,104.0836211681366,"[24, 4, 31, 30, 23, 2, 8, 25, 32, 7]"
80,100,0.6,0.2,2.0,2.0,10,0.6,0.4,0.41651774739392505,0.41428679180846073,0.0014564938042045505,0.5534320323014805,0.2055689310689311,54.71848092079163,"[30, 2, 20, 19, 8, 24, 25, 7, 32, 4]"
100,200,0.6,0.3,2.0,1.5,10,0.6,0.4,0.41651774739392505,0.41425108072725836,0.002347988268733654,0.5518169582772544,0.20790226440226442,141.72523193359376,"[24, 8, 25, 2, 20, 19, 32, 7, 30, 4]"
80,200,0.6,0.2,2.0,2.0,10,0.6,0.4,0.41651774739392505,0.4138272647944249,0.0033684537072474928,0.5550471063257068,0.20199750249750248,110.48031435012817,"[25, 7, 8, 2, 20, 32, 30, 4, 24, 3]"
